clothing,resting_heartrate,thermal_cozie,nb_temp,user_id,t-ubi
9.0,61,11.0,29.75,enth04,28.89
9.0,61,11.0,30.188,enth04,23.592735
9.0,61,11.0,30.875,enth04,28.33
9.0,61,11.0,31.875,enth04,24.730293
9.0,61,11.0,30.125,enth04,28.33
9.0,62,11.0,28.125,enth04,28.33
9.0,62,11.0,28.625,enth04,28.33
9.0,62,11.0,26.312,enth04,23.4869
9.0,62,10.0,28.25,enth04,28.33
9.0,62,10.0,28.438,enth04,23.558022
9.0,60,11.0,29.25,enth04,24.1387
9.0,60,11.0,29.688,enth04,24.7906
9.0,60,11.0,30.375,enth04,25.1473
9.0,64,11.0,29.125,enth04,25.5311
9.0,64,11.0,31.125,enth04,26.078812
9.0,63,11.0,30.188,enth04,26.06546
9.0,63,11.0,30.875,enth04,25.164
9.0,61,10.0,29.25,enth04,23.26162
9.0,60,10.0,27.312,enth04,23.0217
9.0,60,10.0,27.938,enth04,23.2146
9.0,59,10.0,27.312,enth04,23.2584
9.0,59,10.0,27.812,enth04,23.1114
9.0,59,10.0,28.0,enth04,23.2866
9.0,59,10.0,28.125,enth04,23.2449
9.0,59,10.0,28.688,enth04,23.2282
9.0,59,10.0,29.188,enth04,23.2282
11.0,62,10.0,27.562,enth05,22.7
11.0,62,11.0,29.938,enth05,27.8
10.0,62,11.0,28.625,enth05,26.9
10.0,62,10.0,28.062,enth05,27.1
10.0,62,11.0,31.625,enth05,27.1
10.0,62,10.0,29.75,enth05,27.3
10.0,62,11.0,30.562,enth05,27.5
10.0,62,10.0,30.062,enth05,27.3
10.0,62,10.0,28.875,enth05,27.3
10.0,62,11.0,28.125,enth05,27.3
10.0,62,11.0,27.375,enth05,25.56
10.0,64,11.0,30.062,enth05,23.63546
10.0,63,10.0,30.312,enth05,28.89
10.0,62,11.0,27.562,enth05,25.56
10.0,62,11.0,28.625,enth05,23.723579
11.0,63,11.0,28.188,enth05,27.2
11.0,64,11.0,29.938,enth05,27.9
11.0,64,11.0,30.25,enth05,32.22
11.0,64,11.0,30.062,enth05,28.2
11.0,64,11.0,29.875,enth05,28.6
11.0,64,11.0,30.625,enth05,28.8
11.0,64,10.0,27.812,enth05,27.1
10.0,64,10.0,28.625,enth05,27.2
10.0,62,11.0,26.625,enth05,23.592735
10.0,62,11.0,28.188,enth05,26.11
10.0,61,11.0,28.312,enth05,23.592735
10.0,61,11.0,27.062,enth05,23.592735
10.0,61,10.0,27.438,enth05,23.592735
10.0,61,11.0,28.5,enth05,23.1719
10.0,61,10.0,29.25,enth05,27.5
10.0,62,10.0,28.688,enth05,27.6
10.0,62,10.0,28.938,enth05,27.6
10.0,62,10.0,28.438,enth05,27.4
10.0,62,10.0,27.938,enth05,27.2
10.0,62,10.0,28.188,enth05,27.6
10.0,61,10.0,28.375,enth05,27.7
10.0,61,11.0,27.375,enth05,26.11
10.0,60,10.0,28.062,enth05,24.4
10.0,61,11.0,29.625,enth05,27.9071
10.0,61,11.0,31.062,enth05,29.7063
10.0,62,11.0,31.0,enth05,30.1047
10.0,62,11.0,31.875,enth05,30.9934
10.0,62,11.0,32.438,enth05,31.4356
10.0,62,11.0,32.75,enth05,31.4669
10.0,73,11.0,33.062,enth02,31.67
10.0,66,11.0,28.938,enth02,28.33
9.0,63,11.0,32.938,enth02,31.11
9.0,64,11.0,27.75,enth02,22.2
9.0,64,11.0,27.562,enth02,22.2
9.0,64,11.0,27.188,enth02,22.1
9.0,64,11.0,30.75,enth02,22.4
9.0,63,11.0,30.375,enth02,26.2
9.0,63,11.0,28.188,enth02,26.4
9.0,62,11.0,31.188,enth02,27.22
9.0,62,11.0,30.062,enth02,27.22
9.0,66,11.0,31.375,enth02,27.78
